parents_beakdepth,entirepopn_beakdepth,survivors
11.71,10.81,1
10.95,8.7,0
10.77,10.0,0
10.76,9.8,0
10.53,9.8,0
10.22,9.6,0
10.01,8.7,0
9.88,9.6,0
9.77,9.2,0
9.50,8.8,0
9.55,9.6,0
9.44,9.0,0
9.41,7.9,0
9.30,9.0,0
9.23,8.3,0
9.21,8.3,0
9.15,9.3,0
9.10,9.5,0
9.05,8.5,0
8.78,8.6,0
8.43,8.1,0
8.10,7.8,0
9.90,7.5,0
10.86,7.3,0
9.81,7.9,0
9.64,7.5,0
10.27,7.7,0
9.38,8.0,0
9.61,7.6,0
9.31,7.5,0
9.73,8.1,0
8.90,7.9,0
9.35,7.2,0
9.46,7.6,0
9.01,9.1,0
8.91,7.7,0
8.82,8.0,0
8.81,8.0,0
9.35,8.1,0
9.30,7.4,0
8.95,7.9,0
8.86,8.0,0
7.99,9.0,0
8.41,8.6,0
,8.9,0
,8.6,0
,8.6,0
,8.9,0
,8.9,0
,8.5,0
,9.0,0
,9.0,0
,8.8,0
,8.9,0
,6.6,0
,9.0,0
,8.9,0
,8.9,0
,8.7,0
,9.0,0
,6.5,0
,9.0,0
,6.5,0
,7.3,0
,8.1,0
,8.6,0
,8.4,0
,8.5,0
,8.5,0
,8.5,0
,8.1,0
,8.5,0
,8.5,0
,6.7,0
,8.2,0
,8.5,0
,6.7,0
,6.6,0
,8.4,0
,6.3,0
,7.2,0
,8.4,0
,8.5,0
,8.5,0
,8.2,0
,6.0,0
,6.7,0
,8.9,0
,7.1,0
,6.4,0
,6.7,0
,8.1,0
,8.5,0
,7.2,0
,8.4,0
,7.0,0
,6.7,0
,9.1,0
,8.9,0
,8.8,0
,7.1,0
,8.8,0
,8.9,0
,8.8,0
,8.1,0
,8.1,0
,6.1,0
,8.9,0
,8.7,0
,9.0,0
,8.9,0
,10.6,0
,10.6,0
,10.5,0
,10.6,0
,10.5,0
,9.0,0
,9.0,0
,8.9,0
,8.7,0
,10.4,0
,8.7,0
,8.8,0
,8.7,0
,8.2,0
,9.1,0
,8.9,0
,10.5,0
,9.2,0
,9.7,0
,8.8,0
,8.9,0
,8.6,0
,9.1,0
,8.7,0
,9.1,0
,9.2,0
,9.2,0
,9.2,0
,9.1,0
,10.6,0
,9.1,0
,9.1,0
,8.7,0
,8.9,0
,9.6,0
,8.9,0
,8.9,0
,9.0,0
,10.5,0
,9.2,0
,10.5,0
,8.6,0
,8.2,0
,9.7,0
,9.1,0
,8.7,0
,8.8,0
,9.1,0
,9.0,0
,9.0,0
,9.1,0
,8.8,0
,8.7,0
,8.5,0
,9.1,0
,8.7,0
,8.8,0
,8.9,0
,8.7,0
,8.8,0
,8.7,0
,8.7,0
,8.7,0
,9.1,0
,9.0,0
,8.7,0
,9.0,0
,9.2,0
,9.2,0
,8.3,0
,10.7,0
,9.2,0
,8.8,0
,8.6,0
,9.1,0
,9.1,0
,9.1,0
,8.7,0
,9.0,0
,8.7,0
,9.2,0
,8.6,0
,9.3,0
,9.2,0
,9.1,0
,8.5,0
,9.6,0
,8.5,0
,8.5,0
,9.2,0
,9.4,0
,9.4,0
,9.3,0
,9.4,0
,9.4,0
,9.2,0
,9.3,0
,9.3,0
,9.2,0
,9.4,0
,9.2,0
,9.1,0
,9.0,0
,9.0,0
,9.3,0
,9.2,0
,9.3,0
,9.1,0
,9.4,0
,9.2,0
,9.1,0
,9.4,0
,9.5,0
,9.5,0
,9.4,0
,9.5,0
,9.6,0
,9.8,0
,9.8,0
,8.1,0
,9.1,0
,9.1,0
,9.2,0
,9.0,0
,9.4,0
,9.1,0
,9.1,0
,9.3,0
,9.7,0
,9.1,0
,9.0,0
,9.1,0
,9.7,0
,9.3,0
,9.4,0
,9.4,0
,9.3,0
,9.4,0
,9.3,0
,9.4,0
,9.2,0
,9.3,0
,9.3,0
,9.4,0
,9.2,0
,9.1,0
,9.3,0
,9.4,0
,9.2,0
,9.3,0
,9.5,0
,9.3,0
,9.3,0
,9.2,0
,9.1,0
,9.2,0
,9.7,0
,9.0,0
,9.3,0
,9.6,0
,9.0,0
,9.5,0
,9.2,0
,9.0,0
,9.5,0
,9.3,0
,9.3,0
,9.3,0
,9.3,0
,9.3,0
,9.3,0
,9.5,0
,9.3,0
,9.1,0
,9.4,0
,9.7,0
,9.5,0
,8.5,0
,9.6,0
,9.5,0
,9.5,0
,8.4,0
,9.6,0
,9.5,0
,9.4,0
,9.8,0
,9.5,0
,9.5,0
,9.6,0
,9.6,0
,9.5,0
,9.4,0
,9.5,0
,9.5,0
,9.5,0
,9.5,0
,9.5,0
,9.6,0
,8.3,0
,9.5,0
,8.4,0
,8.3,0
,8.1,0
,9.1,0
,8.3,0
,10.4,0
,9.1,0
,9.0,0
,8.4,0
,8.5,0
,9.1,0
,9.1,0
,9.6,0
,9.6,0
,9.4,0
,9.5,0
,8.4,0
,8.3,0
,8.3,0
,9.4,0
,9.5,0
,9.7,0
,9.6,0
,9.5,0
,9.5,0
,9.8,0
,9.6,0
,9.5,0
,10.6,0
,10.8,0
,9.4,0
,9.7,0
,9.7,0
,9.4,0
,9.7,0
,9.7,0
,9.7,0
,9.7,0
,9.7,0
,9.5,0
,9.4,0
,9.7,0
,10.6,0
,9.6,0
,9.7,0
,9.7,0
,9.5,0
,9.6,0
,9.5,0
,9.8,0
,9.6,0
,9.6,0
,9.5,0
,9.7,0
,9.4,0
,9.5,0
,9.7,0
,9.7,0
,9.5,0
,9.6,0
,9.6,0
,9.7,0
,9.5,0
,8.9,0
,10.5,0
,10.0,0
,7.7,0
,9.9,0
,9.8,0
,9.6,0
,9.6,0
,5.8,0
,9.6,0
,9.7,0
,9.8,0
,9.8,0
,9.8,0
,9.6,0
,9.9,0
,10.2,0
,9.9,0
,9.7,0
,9.9,0
,9.7,0
,9.7,0
,9.8,0
,9.7,0
,9.8,0
,9.6,0
,9.9,0
,9.9,0
,10.0,0
,9.8,0
,10.0,0
,9.9,0
,9.9,0
,10.0,0
,9.8,0
,9.9,0
,9.9,0
,10.8,0
,9.9,0
,9.9,0
,9.9,0
,10.0,0
,9.9,0
,9.8,0
,9.8,0
,9.9,0
,10.3,0
,9.9,0
,9.9,0
,9.8,0
,9.8,0
,10.0,0
,9.9,0
,10.0,0
,9.9,0
,10.0,0
,9.9,0
,9.9,0
,10.0,0
,9.9,0
,10.0,0
,9.9,0
,9.7,0
,8.6,1
,10.4,1
,11.3,0
,11.3,0
,9.9,0
,10.2,0
,9.9,0
,10.0,0
,9.9,0
,9.9,0
,9.8,0
,9.9,0
,9.9,0
,10.3,0
,9.8,0
,10.0,0
,10.1,0
,9.9,0
,9.9,0
,10.1,0
,10.2,0
,10.1,0
,10.0,0
,10.0,0
,10.0,0
